English_speaker,Course_instructor,Course,Summer_or_regular_semester,Class_size,Class_attribute
1,23,3.0,1,19,3
2,15,3.0,1,17,3
1,23,3.0,2,49,3
1,5,2.0,2,33,3
2,7,11.0,2,55,3
2,23,3.0,1,20,3
2,9,5.0,2,19,3
2,10,3.0,2,27,3
1,22,3.0,1,58,3
2,15,3.0,1,20,3
2,10,22.0,2,9,3
2,13,1.0,2,30,3
2,18,21.0,2,29,3
2,6,17.0,2,39,3
2,6,17.0,2,42,2
2,6,17.0,2,43,2
2,7,11.0,2,10,2
2,22,3.0,2,46,2
2,13,3.0,1,10,2
2,7,25.0,2,42,2
2,25,7.0,2,27,2
2,25,7.0,2,23,2
2,2,9.0,2,31,2
2,1,15.0,1,22,2
2,15,13.0,2,37,2
2,7,11.0,2,13,2
2,8,3.0,2,24,2
2,14,15.0,2,38,2
2,21,2.0,2,42,1
2,22,3.0,2,28,1
2,11,1.0,2,51,1
2,18,5.0,2,19,1
2,13,1.0,2,31,1
1,13,3.0,1,13,1
2,5,2.0,2,37,1
2,16,8.0,2,36,1
2,4,16.0,2,21,1
2,5,2.0,2,48,1
2,14,15.0,2,38,1
1,23,3.0,1,19,3
2,15,3.0,1,17,3
1,23,3.0,2,49,3
1,5,2.0,2,33,3
2,7,11.0,2,55,3
2,23,3.0,1,20,3
2,9,5.0,2,19,3
2,10,3.0,2,27,3
1,22,3.0,2,58,3
2,15,3.0,1,20,3
2,10,22.0,2,9,3
2,13,1.0,2,30,3
2,18,21.0,2,29,3
2,6,17.0,2,39,3
2,6,17.0,2,42,2
2,6,17.0,2,43,2
2,7,11.0,2,10,2
2,22,3.0,2,46,2
2,13,3.0,1,10,2
2,7,25.0,2,42,2
2,25,7.0,2,27,2
2,25,7.0,2,23,2
2,2,9.0,2,31,2
2,1,15.0,1,22,2
2,15,13.0,2,37,2
2,7,11.0,2,13,2
2,8,3.0,2,24,2
2,14,15.0,2,38,2
2,21,2.0,2,42,1
2,22,3.0,2,28,1
2,11,1.0,2,51,1
2,18,5.0,2,19,1
2,13,1.0,2,31,1
1,13,3.0,1,13,1
2,5,2.0,2,37,1
2,16,8.0,2,36,1
2,4,16.0,2,21,1
2,5,2.0,2,48,1
2,14,15.0,2,38,1
1,23,3.0,1,25,3
1,13,3.0,1,17,3
2,16,19.0,2,11,3
2,9,2.0,2,39,3
2,13,3.0,1,11,3
2,18,21.0,2,19,3
1,22,3.0,2,45,3
2,7,11.0,1,20,3
2,23,3.0,1,20,3
1,23,3.0,1,20,3
1,23,3.0,2,38,3
2,14,22.0,2,17,3
1,17,17.0,2,19,3
2,9,5.0,2,24,3
2,18,25.0,2,25,3
1,17,17.0,2,31,3
2,1,15.0,2,31,3
2,1,8.0,2,18,2
1,11,16.0,2,22,2
1,22,13.0,2,27,2
2,9,2.0,2,14,2
2,13,1.0,2,20,2
1,6,17.0,2,35,2
2,23,3.0,1,20,2
1,23,3.0,1,20,2
2,6,17.0,2,37,2
1,22,3.0,2,15,2
2,20,2.0,2,25,2
2,23,3.0,2,10,2
2,20,2.0,2,14,1
1,23,3.0,2,38,1
2,13,1.0,2,29,1
2,10,3.0,2,19,1
2,7,11.0,2,30,1
1,14,15.0,2,32,1
2,8,3.0,2,27,1
2,12,7.0,2,34,1
2,8,7.0,2,23,1
2,15,1.0,2,66,1
2,23,3.0,2,12,1
2,2,9.0,2,29,1
2,15,1.0,2,19,1
2,20,2.0,2,3,1
2,13,14.0,2,17,3
2,9,6.0,2,7,3
1,10,3.0,2,21,3
2,14,15.0,2,36,3
1,13,1.0,2,54,3
1,8,3.0,2,29,3
2,20,2.0,2,45,3
2,22,1.0,2,11,2
2,18,12.0,2,16,2
2,20,15.0,2,18,2
1,17,18.0,2,44,2
2,14,23.0,2,17,2
2,24,26.0,2,21,2
2,9,24.0,2,20,2
2,12,8.0,2,24,2
2,9,6.0,2,5,2
2,22,1.0,2,42,2
2,7,11.0,2,30,1
2,10,3.0,2,19,1
2,23,3.0,2,11,1
2,17,18.0,2,29,1
2,16,20.0,2,15,1
2,3,2.0,2,37,1
2,19,4.0,2,10,1
2,23,3.0,2,24,1
2,3,2.0,2,26,1
2,10,3.0,2,12,1
1,18,7.0,2,48,1
2,22,1.0,2,51,1
2,2,10.0,2,27,1
2,4,,2,65,1
2,1,,2,19,3
2,1,,2,36,3
1,7,,2,12,3
2,1,,2,3,3
2,8,,1,20,1
1,19,,1,9,2
2,12,,1,45,1
2,7,,2,16,1
2,15,,2,15,1
2,12,,2,41,3
1,21,,2,49,2
1,3,,2,23,3
2,1,,2,44,2
2,6,,2,59,3
2,18,,2,17,3
1,6,,1,41,3
